Instance,Test,Language,Time
burma14,1,C++,279
burma14,2,C++,305
burma14,3,C++,975
burma14,4,C++,829
burma14,5,C++,327
burma14,6,C++,1465
burma14,7,C++,478
burma14,8,C++,1297
burma14,9,C++,521
burma14,10,C++,717
burma14,11,C++,494
burma14,12,C++,283
burma14,13,C++,548
burma14,14,C++,818
burma14,15,C++,782
burma14,16,C++,700
burma14,17,C++,1015
burma14,18,C++,579
burma14,19,C++,421
burma14,20,C++,586
gr17,1,C++,1408
gr17,2,C++,868
gr17,3,C++,2139
gr17,4,C++,2643
gr17,5,C++,1526
gr17,6,C++,656
gr17,7,C++,1745
gr17,8,C++,468
gr17,9,C++,880
gr17,10,C++,1668
gr17,11,C++,2778
gr17,12,C++,755
gr17,13,C++,998
gr17,14,C++,1347
gr17,15,C++,537
gr17,16,C++,777
gr17,17,C++,1574
gr17,18,C++,579
gr17,19,C++,835
gr17,20,C++,2285
gr21,1,C++,1762
gr21,2,C++,1935
gr21,3,C++,3886
gr21,4,C++,4845
gr21,5,C++,2364
gr21,6,C++,6366
gr21,7,C++,4065
gr21,8,C++,10720
gr21,9,C++,3604
gr21,10,C++,5045
gr21,11,C++,5014
gr21,12,C++,3016
gr21,13,C++,4835
gr21,14,C++,3235
gr21,15,C++,2834
gr21,16,C++,4080
gr21,17,C++,4999
gr21,18,C++,5669
gr21,19,C++,2535
gr21,20,C++,5763
gr24,1,C++,10849
gr24,2,C++,6197
gr24,3,C++,2858
gr24,4,C++,8646
gr24,5,C++,6300
gr24,6,C++,9927
gr24,7,C++,3880
gr24,8,C++,9908
gr24,9,C++,2770
gr24,10,C++,6415
gr24,11,C++,9011
gr24,12,C++,9594
gr24,13,C++,7586
gr24,14,C++,9435
gr24,15,C++,4516
gr24,16,C++,5708
gr24,17,C++,4670
gr24,18,C++,6556
gr24,19,C++,6660
gr24,20,C++,7642
bays29,1,C++,8098
bays29,2,C++,15314
bays29,3,C++,15865
bays29,4,C++,9924
bays29,5,C++,8395
bays29,6,C++,17994
bays29,7,C++,17831
bays29,8,C++,14854
bays29,9,C++,8969
bays29,10,C++,23078
bays29,11,C++,13093
bays29,12,C++,12645
bays29,13,C++,16213
bays29,14,C++,11016
bays29,15,C++,15311
bays29,16,C++,23521
bays29,17,C++,20353
bays29,18,C++,17413
bays29,19,C++,24015
bays29,20,C++,15248
bayg29,1,C++,19473
bayg29,2,C++,10211
bayg29,3,C++,12107
bayg29,4,C++,16961
bayg29,5,C++,15218
bayg29,6,C++,19038
bayg29,7,C++,8807
